Day,Doug Collins: (United States),Kelly Loeffler: (United States)
10/1/2020,4,8
10/2/2020,3,19
10/3/2020,7,21
10/4/2020,1,14
10/5/2020,5,27
10/6/2020,4,19
10/7/2020,3,17
10/8/2020,7,12
10/9/2020,5,23
10/10/2020,1,16
10/11/2020,4,8
10/12/2020,15,7
10/13/2020,36,14
10/14/2020,23,10
10/15/2020,11,13
10/16/2020,9,14
10/17/2020,6,25
10/18/2020,13,25
10/19/2020,14,13
10/20/2020,7,24
10/21/2020,11,22
10/22/2020,8,7
10/23/2020,5,9
10/24/2020,1,11
10/25/2020,9,8
10/26/2020,7,16
10/27/2020,10,14
10/28/2020,14,18
10/29/2020,10,46
10/30/2020,5,26
10/31/2020,10,16
11/1/2020,3,12
11/2/2020,7,15
11/3/2020,12,30
11/4/2020,75,100
11/5/2020,23,58
11/6/2020,22,70
11/7/2020,24,57
11/8/2020,46,55
11/9/2020,53,65
11/10/2020,27,83
11/11/2020,58,61
11/12/2020,29,66
11/13/2020,11,63
11/14/2020,18,58
11/15/2020,14,59
