Year,Threshold
1978,6612
1979,6612
1980,8351
1981,9218
1982,9783
1983,10098
1984,10527
1985,10903
1986,11113
1987,11519
1988,11997
1989,12575
1990,13254
1991,13812
1992,14228
1993,14654
1994,15029
1995,15455
1996,15911
1997,16276
1998,16530
1999,16895
2000,17463
2001,17960
2002,18244
2003,18660
2004,19157
2005,19806
2006,20444
2007,21027
2008,21834
2009,21756
2010,22113
2011,22811
2012,23283
2013,23624
2014,24008
2015,24036
2016,24339
2017,24858
2018,25465
2019,25926
