state/territory,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
 Alabama,0.00%,0.00%,0.00%,0.00%,,,0.40%,0.90%,0.60%,1.70%,3.90%,5.30%
 Alaska,,,,,,,2.10%,2.40%,3.20%,4.10%,5.50%,6.80%
 Arizona,28.60%,30.40%,30.20%,20.40%,17.20%,14.90%,17.30%,16.20%,18.80%,25.30%,29.60%,30.70%
 Arkansas,0.00%,0.00%,0.00%,0.00%,,,0.50%,0.80%,0.80%,3.20%,6.40%,8.50%
 California,2.10%,3.70%,6.80%,6.00%,7.20%,9.10%,13.70%,19.20%,25.80%,32.40%,37.60%,39.40%
 Colorado,0.40%,1.60%,5.70%,8.20%,9.00%,9.00%,11.60%,11.80%,12.90%,17.10%,20.70%,21.90%
 Connecticut,0.00%,0.00%,0.00%,0.10%,,,2.40%,4.00%,6.50%,9.40%,13.40%,17.30%
 Delaware,0.00%,0.00%,0.00%,0.10%,,,1.10%,1.60%,2.40%,4.80%,8.20%,10.50%
 District of Columbia,0.00%,0.00%,0.00%,0.10%,,,2.10%,2.80%,5.40%,7.90%,9.10%,11.30%
 Florida,0.00%,0.00%,0.00%,1.30%,,,6.60%,8.80%,12.20%,16.80%,22.50%,26.50%
 Georgia,0.00%,0.00%,0.00%,0.00%,,,0.60%,1.10%,1.70%,5.30%,8.80%,10.50%
 Hawaii,,,,,,,3.00%,7.40%,7.30%,7.20%,8.90%,9.50%
 Idaho,0.00%,0.30%,0.30%,0.50%,,,2.60%,3.90%,5.30%,7.90%,11.20%,13.00%
 Illinois,0.00%,0.10%,0.40%,0.30%,,,3.30%,5.60%,7.90%,12.30%,15.80%,18.20%
 Indiana,0.00%,0.00%,0.30%,0.20%,,,1.30%,1.60%,1.80%,3.50%,6.00%,8.20%
 Iowa,0.00%,0.10%,0.20%,0.10%,,,0.60%,0.90%,1.20%,2.80%,5.00%,6.80%
 Kansas,0.50%,0.90%,1.10%,0.70%,,,2.10%,2.70%,3.80%,7.00%,10.50%,13.00%
 Kentucky,0.00%,0.00%,0.00%,0.00%,,,0.30%,0.70%,0.60%,1.50%,3.10%,4.60%
 Louisiana,0.10%,0.20%,0.30%,0.20%,,,1.90%,2.40%,2.20%,2.40%,4.20%,6.90%
 Maine,0.00%,0.00%,0.00%,0.00%,,,0.40%,0.40%,0.60%,0.70%,1.30%,2.00%
 Maryland,0.00%,0.00%,0.00%,0.00%,,,1.40%,1.50%,2.60%,4.30%,8.20%,11.80%
 Massachusetts,0.00%,0.00%,0.00%,0.10%,,,1.10%,2.50%,4.80%,6.80%,9.60%,12.60%
 Michigan,0.00%,0.00%,0.30%,0.20%,,,1.40%,1.80%,2.20%,3.30%,4.40%,5.60%
 Minnesota,0.00%,0.00%,0.10%,0.10%,,,0.60%,0.80%,1.20%,2.90%,4.70%,6.10%
 Mississippi,0.00%,0.00%,0.10%,0.00%,,,0.40%,1.00%,0.60%,1.40%,2.70%,3.60%
 Missouri,0.00%,0.10%,0.10%,0.10%,,,0.90%,1.10%,1.20%,2.10%,3.50%,4.90%
 Montana,0.00%,0.10%,0.50%,0.40%,,,1.10%,1.30%,1.50%,2.00%,2.90%,4.20%
 Nebraska,0.00%,0.20%,0.50%,0.40%,,,1.40%,1.80%,2.30%,5.50%,9.20%,12.00%
 Nevada,1.10%,1.80%,3.70%,2.80%,,,5.60%,6.70%,10.40%,19.70%,26.50%,28.70%
 New Hampshire,0.00%,0.00%,0.00%,0.00%,,,0.40%,0.60%,1.00%,1.70%,2.80%,4.30%
 New Jersey,0.00%,0.00%,0.00%,0.20%,,,4.30%,6.70%,9.60%,13.30%,17.70%,21.60%
 New Mexico,6.90%,9.80%,15.20%,41.70%,36.50%,28.30%,37.40%,36.60%,38.20%,42.10%,46.30%,47.70%
 New York,0.00%,0.00%,0.00%,1.00%,,,8.00%,9.50%,12.30%,15.10%,17.60%,19.50%
 North Carolina,0.00%,0.00%,0.00%,0.00%,,,0.40%,1.00%,1.20%,4.70%,8.40%,10.70%
 North Dakota,0.00%,0.00%,0.10%,0.00%,,,0.30%,0.60%,0.70%,1.20%,2.00%,4.30%
 Ohio,0.00%,0.00%,0.10%,0.10%,,,0.90%,1.10%,1.30%,1.90%,3.10%,4.40%
 Oklahoma,0.30%,0.40%,0.20%,0.20%,,,1.40%,1.90%,2.70%,5.20%,8.90%,11.90%
 Oregon,0.00%,0.10%,0.20%,0.10%,,,1.70%,2.50%,4.00%,8.00%,11.70%,13.90%
 Pennsylvania,0.00%,0.00%,0.00%,0.10%,,,0.90%,1.30%,2.00%,3.20%,5.70%,8.10%
 Rhode Island,0.00%,0.00%,0.00%,0.10%,,,0.70%,2.10%,4.60%,8.70%,12.40%,16.60%
 South Carolina,0.00%,0.00%,0.00%,0.00%,,,0.40%,1.10%,0.90%,2.40%,5.10%,6.90%
 South Dakota,0.00%,0.00%,0.10%,0.00%,,,0.40%,0.60%,0.80%,1.40%,2.70%,4.40%
 Tennessee,0.00%,0.00%,0.00%,0.00%,,,0.40%,0.70%,0.70%,2.20%,4.60%,6.90%
 Texas,7.10%,9.90%,13.80%,11.50%,13.30%,14.80%,17.70%,21.00%,25.50%,32.00%,37.60%,39.30%
 Utah,0.00%,0.30%,0.80%,0.50%,,,4.10%,4.10%,4.90%,9.00%,13.00%,15.10%
 Vermont,0.00%,0.00%,0.00%,0.20%,,,0.60%,0.60%,0.70%,0.90%,1.50%,2.40%
 Virginia,0.00%,0.00%,0.00%,0.00%,,,1.00%,1.50%,2.60%,4.70%,7.90%,10.50%
 Washington,0.00%,0.00%,0.00%,0.10%,,,2.10%,2.90%,4.40%,7.50%,11.20%,13.70%
 West Virginia,0.00%,0.00%,0.00%,0.10%,,,0.40%,0.70%,0.50%,0.70%,1.20%,1.90%
 Wisconsin,0.00%,0.00%,0.10%,0.10%,,,0.90%,1.30%,1.90%,3.60%,5.90%,7.60%
 Wyoming,0.20%,1.10%,3.20%,2.40%,,,5.60%,5.20%,5.70%,6.40%,8.90%,10.20%
 Puerto Rico,,,,,,,,,,98.80%,99.00%,98.90%
